filename,flight,type,score,iou
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.91351277,0.8731930255889893
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.91175497,0.7056682109832764
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.9058424,0.8048014640808105
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.9044684,0.1827351301908493
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.90237695,0.7883811593055725
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.8944323,0.4204290509223938
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.88108873,0.7729851007461548
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.87747484,0.37939998507499695
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.8587104,0.5288712382316589
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.850858,0.4242608845233917
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.8456754,0.8010265827178955
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.8207898,0.6905640959739685
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.8139638,0.4554831087589264
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.8095779,0.10963036864995956
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.7991472,0.4234350025653839
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.7730524,0.7666571140289307
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.7728565,0.266670286655426
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.7530679,0.530519962310791
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.74718726,0.0
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.7418063,0.6092923283576965
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.73416686,0.0026965050492435694
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.7211791,0.0
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.7100813,0.5298380851745605
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.68874764,0.6673779487609863
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.6826851,0.0
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.6800871,0.4876658618450165
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.67823094,0.4368433654308319
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.6776013,0.41625863313674927
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.6715554,0.077103391289711
